,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
132,Otolemur garnettii,Homo sapiens subsp. Denisova,0.213849,0.0,25,12,149954265,157466970,38.013368451217595,38.559771286613994
133,Otolemur garnettii,Tupaia belangeri,0.231597,0.0,25,12,149954265,149811902,38.013368451217595,39.90564559866216
134,Otolemur garnettii,Sorex araneus,0.239603,0.0,25,12,149954265,154664993,38.013368451217595,38.310947587616624
135,Otolemur garnettii,Erinaceus europaeus,0.25757,0.0,25,12,149954265,138227771,38.013368451217595,35.23760603795942
136,Otolemur garnettii,Felis catus,0.208755,0.0,25,12,149954265,163304671,38.013368451217595,41.29783220895761
137,Otolemur garnettii,Canis lupus familiaris,0.205385,0.0,25,12,149954265,151719617,38.013368451217595,40.749768610252154
138,Otolemur garnettii,Equus caballus,0.207367,0.0,25,12,149954265,163861668,38.013368451217595,40.82579448687693
139,Otolemur garnettii,Bos taurus,0.238994,0.0,25,12,149954265,153295999,38.013368451217595,41.42254341828584
140,Otolemur garnettii,Oryctolagus cuniculus,0.234559,0.0,25,12,149954265,159967302,38.013368451217595,42.28037946782452
141,Otolemur garnettii,Rattus norvegicus,0.227143,0.0,25,12,149954265,157641967,38.013368451217595,41.14000337454406
142,Otolemur garnettii,Cavia porcellus,0.230688,0.0,25,12,149954265,152628324,38.013368451217595,38.58365568505605
143,Homo sapiens subsp. Denisova,Tupaia belangeri,0.248641,0.0,25,12,157466970,149811902,38.559771286613994,39.90564559866216
144,Homo sapiens subsp. Denisova,Sorex araneus,0.257976,0.0,25,12,157466970,154664993,38.559771286613994,38.310947587616624
145,Homo sapiens subsp. Denisova,Erinaceus europaeus,0.273277,0.0,25,12,157466970,138227771,38.559771286613994,35.23760603795942
146,Homo sapiens subsp. Denisova,Felis catus,0.227059,0.0,25,12,157466970,163304671,38.559771286613994,41.29783220895761
147,Homo sapiens subsp. Denisova,Canis lupus familiaris,0.222135,0.0,25,12,157466970,151719617,38.559771286613994,40.749768610252154
148,Homo sapiens subsp. Denisova,Equus caballus,0.223872,0.0,25,12,157466970,163861668,38.559771286613994,40.82579448687693
149,Homo sapiens subsp. Denisova,Bos taurus,0.254608,0.0,25,12,157466970,153295999,38.559771286613994,41.42254341828584
150,Homo sapiens subsp. Denisova,Oryctolagus cuniculus,0.251877,0.0,25,12,157466970,159967302,38.559771286613994,42.28037946782452
151,Homo sapiens subsp. Denisova,Rattus norvegicus,0.247166,0.0,25,12,157466970,157641967,38.559771286613994,41.14000337454406
152,Homo sapiens subsp. Denisova,Cavia porcellus,0.247127,0.0,25,12,157466970,152628324,38.559771286613994,38.58365568505605
153,Tupaia belangeri,Sorex araneus,0.253727,0.0,25,12,149811902,154664993,39.90564559866216,38.310947587616624
154,Tupaia belangeri,Erinaceus europaeus,0.269486,0.0,25,12,149811902,138227771,39.90564559866216,35.23760603795942
155,Tupaia belangeri,Felis catus,0.228784,0.0,25,12,149811902,163304671,39.90564559866216,41.29783220895761
156,Tupaia belangeri,Canis lupus familiaris,0.224413,0.0,25,12,149811902,151719617,39.90564559866216,40.749768610252154
157,Tupaia belangeri,Equus caballus,0.228462,0.0,25,12,149811902,163861668,39.90564559866216,40.82579448687693
