taxon1,taxon2,distance
Marinovum algicola,Thermococcus siculi,4250.0
Marinovum algicola,Thermococcus pacificus,4250.0
Marinovum algicola,Pyrococcus abyssi,4250.0
Marinovum algicola,Pyrococcus horikoshii,4250.0
Marinovum algicola,Pyrococcus furiosus,4250.0
Marinovum algicola,Pyrococcus yayanosii,4250.0
Marinovum algicola,Desulfurococcus amylolyticus,4250.0
Marinovum algicola,Ignicoccus islandicus,4250.0
Marinovum algicola,Sulfolobus acidocaldarius,4250.0
Marinovum algicola,Sulfurisphaera tokodaii,4250.0
Marinovum algicola,Saccharolobus solfataricus,4250.0
Marinovum algicola,Metallosphaera cuprina,4250.0
Marinovum algicola,Hyperthermus butylicus,4250.0
Ketogulonicigenium robustum,Sandaracinus amylolyticus,2686.6000000000004
Ketogulonicigenium robustum,Methylorubrum populi,1427.156
Ketogulonicigenium robustum,Marinovum algicola,25.52924
Ketogulonicigenium robustum,Ketogulonicigenium robustum,0.0
Ketogulonicigenium robustum,Sphingobium herbicidovorans,1468.13514
Ketogulonicigenium robustum,Acetobacter persici,1710.49761
Ketogulonicigenium robustum,Oleispira antarctica,2328.26642
Ketogulonicigenium robustum,Azotobacter vinelandii,2328.26642
Ketogulonicigenium robustum,Pluralibacter gergoviae,2328.26642
Ketogulonicigenium robustum,Photorhabdus thracensis,2328.26642
Ketogulonicigenium robustum,Pragia fontium,2328.26642
Ketogulonicigenium robustum,Pectobacterium carotovorum,2328.26642
Ketogulonicigenium robustum,Serratia liquefaciens,2328.26642
Ketogulonicigenium robustum,Vibrio fluvialis,2328.26642
Ketogulonicigenium robustum,Shewanella japonica,2328.26642
Ketogulonicigenium robustum,Methylotenera mobilis,2328.26642
Ketogulonicigenium robustum,Laribacter hongkongensis,2328.26642
Ketogulonicigenium robustum,Helicobacter mustelae,2849.0299999999997
Ketogulonicigenium robustum,Campylobacter ureolyticus,2849.0299999999997
Ketogulonicigenium robustum,Parachlamydia acanthamoebae,3000.0
Ketogulonicigenium robustum,Chlamydia pecorum,3000.0
Ketogulonicigenium robustum,Tenacibaculum dicentrarchi,2999.9999999999995
Ketogulonicigenium robustum,Ornithobacterium rhinotracheale,2999.9999999999995
Ketogulonicigenium robustum,Niabella soli,2999.9999999999995
Ketogulonicigenium robustum,Dyadobacter fermentans,2999.9999999999995
Ketogulonicigenium robustum,Cyclobacterium marinum,2999.9999999999995
Ketogulonicigenium robustum,Prochlorococcus,3194.17114
Ketogulonicigenium robustum,Spiroplasma taiwanense,3194.17114
Ketogulonicigenium robustum,Mycoplasma crocodyli,3194.17114
Ketogulonicigenium robustum,Mycoplasmopsis canis,3194.17114
Ketogulonicigenium robustum,Salisediminibacterium selenitireducens,3194.17114
Ketogulonicigenium robustum,Staphylococcus succinus,3194.17114
Ketogulonicigenium robustum,Staphylococcus xylosus,3194.17114
Ketogulonicigenium robustum,Lactobacillus gallinarum,3194.17114
Ketogulonicigenium robustum,Lactobacillus amylovorus,3194.17114
Ketogulonicigenium robustum,Thermoanaerobacter italicus,3194.17114
Ketogulonicigenium robustum,Desulfitobacterium hafniense DCB-2,3194.17114
Ketogulonicigenium robustum,Oscillibacter valericigenes,3194.17114
Ketogulonicigenium robustum,Selenomonas sputigena,3194.17114
Ketogulonicigenium robustum,Halothermothrix orenii,3194.17114
Ketogulonicigenium robustum,Halobacteroides halobius,3194.17114
Ketogulonicigenium robustum,Mycobacterium colombiense,3194.17114
Ketogulonicigenium robustum,Thermobispora bispora,3194.17114
Ketogulonicigenium robustum,Nocardiopsis alba,3194.17114
