Comamonas testosteroni
Comamonas kerstersii
Delftia acidovorans
Diaphorobacter nitroreducens
Acidovorax avenae
Variovorax paradoxus
Ramlibacter tataouinensis
Rhodoferax saidenbachensis
Rhodoferax antarcticus
Rhodoferax ferrireducens
Polaromonas naphthalenivorans
Schlegelella thermodepolymerans
Oxalobacter formigenes
Janthinobacterium agaricidamnosum
Herminiimonas arsenicoxydans
Herbaspirillum hiltneri
Collimonas pratensis
Herbaspirillum seropedicae
Vitreoscilla filiformis
Chromobacterium violaceum
Snodgrassella alvi
Neisseria elongata subsp. glycolytica
Neisseria elongata subsp. elongata
Neisseria lactamica
Laribacter hongkongensis
Francisella persica
Acidithiobacillus caldus
Acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans
Nautilia profundicola
Helicobacter typhlonius
Helicobacter hepaticus
Helicobacter bilis
Helicobacter cinaedi
Helicobacter felis
Helicobacter cetorum
Helicobacter mustelae
Wolinella succinogenes
Sulfurimonas autotrophica
Sulfurimonas denitrificans
Nitratifractor salsuginis
Arcobacter nitrofigilis
Aliarcobacter butzleri
Campylobacter helveticus
Campylobacter cuniculorum
Campylobacter volucris
Campylobacter insulaenigrae
Campylobacter ureolyticus
Campylobacter coli
Campylobacter curvus
Campylobacter concisus
Campylobacter sputorum subsp. bubulus
Campylobacter sputorum subsp. sputorum
Campylobacter hominis
Campylobacter gracilis
Sulfurospirillum multivorans
Sulfurospirillum barnesii
Sulfurospirillum deleyianum
Sulfurospirillum cavolei
Turneriella parva
Leptospira biflexa
Leptospira borgpetersenii
Leptospira santarosai
Brachyspira murdochii
Brachyspira hyodysenteriae
Brachyspira pilosicoli
Leadbettera azotonutricia
Treponema primitia
Gracilinema caldarium
Treponema putidum
Treponema pedis
Treponema succinifaciens
Treponema brennaborense
Sphaerochaeta coccoides
Sphaerochaeta pleomorpha
Sphaerochaeta globosa
Spirochaeta africana
Sediminispirochaeta smaragdinae
Borreliella valaisiana
Borreliella afzelii
Borreliella garinii
Borrelia miyamotoi
Spirochaeta thermophila
Isosphaera pallida
Singulisphaera acidiphila
Planctopirus limnophila
Rubinisphaera brasiliensis
Pirellula staleyi
Phycisphaera mikurensis
Fibrobacter
Waddlia chondrophila
Simkania negevensis
Parachlamydia acanthamoebae
Chlamydia suis
Chlamydia muridarum
Chlamydia pecorum
Chlamydia caviae
Chlamydia psittaci
Chlamydia felis
Nonlabens dokdonensis
Nonlabens tegetincola
Myroides profundi
Flavobacterium johnsoniae
Flavobacterium indicum
Flavobacterium columnare
Capnocytophaga canimorsus
Capnocytophaga haemolytica
Capnocytophaga ochracea
Muricauda ruestringensis
Muricauda lutaonensis
Zobellia galactanivorans
Robiginitalea biformata
Arenibacter latericius
Cellulophaga algicola
Cellulophaga baltica
Cellulophaga lytica
Dokdonia donghaensis
Lutibacter litoralis
Polaribacter reichenbachii
Tenacibaculum dicentrarchi
Siansivirga zeaxanthinifaciens
Lacinutrix copepodicola
Zunongwangia profunda
Psychroflexus torquis
Gramella flava
Croceibacter atlanticus
Aequorivita sublithincola
Weeksella virosa
Ornithobacterium rhinotracheale
Riemerella anatipestifer
Chryseobacterium indologenes
Elizabethkingia anophelis
Fluviicola taffensis
Alistipes finegoldii
Porphyromonas asaccharolytica
Porphyromonas gingivalis
Tannerella forsythia
Parabacteroides distasonis
Barnesiella viscericola
Paludibacter propionicigenes
Odoribacter splanchnicus
Bacteroides caccae
Bacteroides ovatus
Bacteroides cellulosilyticus
Phocaeicola salanitronis
Phocaeicola vulgatus
Prevotella enoeca
Prevotella intermedia
Prevotella denticola
Prevotella fusca
Prevotella ruminicola
Alkalitalea saponilacus
Draconibacterium orientale
Owenweeksia hongkongensis
Solitalea canadensis
Pedobacter heparinus
Pedobacter steynii
Pedobacter cryoconitis
Pseudopedobacter saltans
Haliscomenobacter hydrossis
Niabella soli
Chitinophaga pinensis
Niastella koreensis
Bernardetia litoralis
Dyadobacter fermentans
Leadbetterella byssophila
Cytophaga hutchinsonii
Cyclobacterium marinum
Belliella baltica
Echinicola vietnamensis
Spirosoma rigui
Marivirga tractuosa
Pontibacter korlensis
Pontibacter akesuensis
Rufibacter tibetensis
Rhodothermus marinus
Ignavibacterium album
Melioribacter roseus
Prosthecochloris aestuarii
Chlorobium phaeobacteroides
Chlorobium limicola
Chlorobaculum tepidum
Pelodictyon luteolum
