Sphecodes minor
Andrena dorsata
Andrena minutula
Macropis europaea
Anthidium
Nomada maculata
Apis mellifera iberiensis
Apis mellifera mellifera
Apis mellifera sinisxinyuan
Apis mellifera caucasica
Apis mellifera anatoliaca
Apis mellifera carnica
Apis mellifera ligustica
Apis mellifera unicolor
Apis mellifera scutellata
Apis mellifera lamarckii
Apis mellifera jemenitica
Bombus breviceps
Pyrobombus
Thoracobombus
Telenomus sp. AD-2014
Andricus lignicolus
Aphelinus abdominalis
Nasonia vitripennis
Spinaria fuscipennis
Tenthredo mesomela
Diprion
Pogonus chalceus
Leistus spinibarbis
Pterostichus niger
Hydrophilidae sp. SLE0101
Anthonomus
Apoderus coryli
Tribolium castaneum
Tribolium confusum
Pyrochroa coccinea
Melyridae sp. INB003
Lycocerus sp. INB155
Melolontha melolontha
Chrysopa pallens
Chrysoperla carnea
Bombylius major
Drosophila busckii
Drosophila innubila
Drosophila albomicans
Drosophila willistoni
Drosophila ananassae
Drosophila suzukii
Drosophila simulans
Drosophila mauritiana
Drosophila melanogaster
Drosophila santomea
Drosophila yakuba
Drosophila teissieri
Drosophila triauraria
Drosophila bifasciata
Drosophila subobscura
Drosophila miranda
Drosophila pseudoobscura
Drosophila athabasca
Delia
Lucilia cuprina
Calliphora vicina
Phormia regina
Sarcophaga bullata
Exorista sorbillans
Bactrocera tryoni
Teleopsis dalmanni
Physocephala sagittaria
Cheilosia longula
Episyrphus balteatus
Laphria grossa
Hermetia illucens
Mayetiola destructor
Polypedilum vanderplanki
Propsilocerus akamusi
Culex quinquefasciatus
Aedes aegypti
Anopheles arabiensis
Anopheles gambiae
Dicranomyia hawaiiensis
Carposina fernaldana
Spodoptera litura
Spodoptera frugiperda
Spodoptera exigua
Mesoligia furuncula
Apamea ophiogramma
Hydraecia micacea
Feltia jaculifera
Mythimna
Helicoverpa zea
Amphipyra
Hypena proboscidalis
Orgyia antiqua
Lymantria monacha
Catocala fraxini
Euplexia lucipara
Trichoplusia ni
Polygrammate hebraeicum
Pheosia gnoma
Biston betularia
Ectropis
Macaria
Hylaea fasciaria
Ennomos fuscantarius
Erannis defoliaria
Agriopis marginaria
Agriopis aurantiaria
Idaea aversata
Operophtera rectipostmediana
Eulithis
Ecliptopera silaceata
Dendrolimus pini
Mimas tiliae
Laothoe populi
Manduca sexta
Hemaris thysbe
Bombyx mori
Tridrepana flava
Thyatira batis
Cnaphalocrocis medinalis
Chilo suppressalis
Plodia interpunctella
Emmelina monodactyla
Mellicta athalia
Melitaea cinxia
Vanessa atalanta
Vanessa cardui
Nymphalis io
Nymphalis urticae
Nymphalis polychloros
Limenitis camilla
Dryas iulia
Heliconius sara
Eueides isabella
Fabriciana adippe
Brenthis ino
Boloria selene
Erebia ligea
Melanargia galathea
Maniola jurtina
Maniola hyperantus
Pararge aegeria
Lasiommata megera
Hipparchia semele
Danaus plexippus
Melinaea marsaeus
Melinaea menophilus
Glaucopsyche alexis
Celastrina
Cyaniris semiargus
Aricia agestis
Lysandra coridon
Lysandra bellargus
Plebejus argus
Lycaena phlaeas
Colias croceus
Zerene cesonia
Aporia crataegi
Pieris napi
Pieris rapae
Pieris brassicae
Anthocharis cardamines
Leptidea sinapis
Pyrgus malvae
Erynnis tages
Thymelicus sylvestris
Hesperia
Ochlodes
Iphiclides podalirius
Papilio polyxenes coloro
Papilio polyxenes asterius
Papilio polyxenes americus
Papilio polyxenes stabilis
Bembecia ichneumoniformis
Choristoneura fumiferana
Grapholita molesta
Aonidiella aurantii
Metopolophium dirhodum
Acyrthosiphon pisum
Rhopalosiphum padi
Rhopalosiphum maidis
Schizaphis graminum
Schlechtendalia chinensis
Hormaphis cornu
Orosius orientalis
Philaenus spumarius
Laodelphax striatellus
Sogatella furcifera
Nilaparvata lugens
Apolygus lucorum
Nesidiocoris tenuis
Orthotylus flavosparsus
Nezara viridula
Pantala flavescens
Ischnura
Coeliccia cyanomelas
Daphnia magna
Daphnia pulex
Caligus
Penaeus chinensis
Penaeus monodon
Macrobrachium nipponense
Eriocheir sinensis
Callinectes sapidus
Portunus
Paralithodes platypus
Procambarus clarkii
Ascaris suum
Meloidogyne hapla
Caenorhabditis briggsae
Caenorhabditis elegans
Pristionchus
Trichinella
Philodina roseola
Metaphire sieboldi
Lamellibrachia barhami
Octopus vulgaris
Crassostrea hongkongensis
Crassostrea ariakensis
Crassostrea gigas
Pinctada imbricata
Pecten maximus
Mytilus edulis
Mytilus coruscus
Anadara kagoshimensis
Mercenaria
Ruditapes philippinarum
Dreissena polymorpha
Solen vaginoides
Phorcus lineatus
Steromphala cineraria
Cyathermia naticoides
Patella vulgata
Patella pellucida
Conus ventricosus
Pomacea
Lineus
Coelogynopora tenuis
Taenia multiceps
Schistosoma japonicum
Acropora millepora
Acropora hyacinthus
Anemonia viridis
Hydra vulgaris
Ostreococcus tauri
Chlamydomonas reinhardtii
Dunaliella
Ulva
Coccomyxa subellipsoidea
Chloranthus sessilifolius
Chimonanthus praecox
Chimonanthus salicifolius
Litsea cubeba
Aristolochia macrophylla
Beta vulgaris
Amaranthus cruentus
Dianthus seguieri
Polygonum aviculare
Fagopyrum tataricum
Nyssa sinensis
Eucommia ulmoides
Sesamum indicum
Avicennia marina
Utricularia gibba
Jacaranda mimosifolia
Paulownia fortunei
Scutellaria baicalensis
Mentha longifolia
core Calosphace
Buddleja alternifolia
Olea europaea subsp. cuspidata
Olea europaea subsp. guanchica
Olea europaea subsp. cerasiformis
Olea europaea subsp. europaea
Olea europaea subsp. maroccana
Osmanthus fragrans
Fraxinus excelsior
Fraxinus pennsylvanica
Forsythia
Primulina tabacum
Ipomoea trifida
Ipomoea batatas
Capsicum chinense
Capsicum annuum
Capsicum baccatum
Solanum pinnatisectum
Solanum lycopersicoides
Solanum lycopersicum
Solanum pimpinellifolium
Solanum pennellii
Solanum commersonii
Lycium barbarum
Nicotiana attenuata
Echium plantagineum
Gardenia volkensii
Coffea eugenioides
Coffea arabica
Coffea canephora
Coffea humblotiana
Gynochthodes officinalis
Leptodermis
Lonicera sempervirens
Daucus carota
Apium graveolens
Centella asiatica
Panax quinquefolius
Panax japonicus var. bipinnatifidus
Panax japonicus var. angustifolius
Panax ginseng
Panax notoginseng
Panax stipuleanatus
Codonopsis lanceolata
Platycodon grandiflorus
Lactuca sativa
Lactuca saligna
Chrysanthemum x morifolium
Erigeron canadensis
Mikania micrantha
Helianthus annuus
Cynara humilis
Camellia oleifera
Vaccinium myrtillus
Vaccinium darrowii
Vaccinium macrocarpon
Rhododendron simsii
Rhododendron ovatum
Rhododendron williamsianum
Rhododendron griersonianum
Actinidia chinensis
Actinidia eriantha
Diospyros lotus
Vitellaria paradoxa
Impatiens glandulifera
Vitis vinifera
Vitis riparia
Vitis rotundifolia
Vitis amurensis
Arabis montbretiana
Schrenkiella parvula
Thlaspi arvense
Raphanus raphanistrum
Brassica juncea
Brassica napus
Brassica nigra
Brassica carinata
Arabis alpina
Camelina
Arabidopsis suecica
Arabidopsis thaliana
Erysimum cheiranthoides
Boechera stricta
Isatis tinctoria
Bretschneidera sinensis
Gossypium raimondii
Gossypium gossypioides
Gossypium turneri
Gossypium anomalum
Gossypium arboreum
Gossypium barbadense
Gossypium darwinii
Gossypium hirsutum
Gossypioides kirkii
Gossypium thurberi
Gossypium tomentosum
Gossypium mustelinum
Gossypium stocksii
Gossypium longicalyx
Theobroma cacao
Nephelium
Dimocarpus
Litchi chinensis
Acer negundo
Xanthoceras sorbifolium
Azadirachta indica
Citrus sinensis
Citrus maxima
Citrus trifoliata
Mangifera foetida
Eucalyptus globulus
Eucalyptus grandis
Eucalyptus cladocalyx
Eucalyptus melliodora
Eucalyptus cloeziana
Eucalyptus regnans
Eucalyptus marginata
Eucalyptus curtisii
Eucalyptus erythrocorys
Eucalyptus microcorys
Eucalyptus guilfoylei
Corymbia calophylla
Corymbia maculata
Angophora floribunda
Psidium guajava
Rhodamnia argentea
Punica granatum
Populus trichocarpa
Populus deltoides
Salix suchowensis
Salix dunnii
Salix arbutifolia
Manihot esculenta
Linum usitatissimum
Ceriops tagal
Bruguiera gymnorhiza
Kandelia
Tripterygium wilfordii
Begonia masoniana
Begonia loranthoides
Gynostemma pentaphyllum
Cucumis sativus
Benincasa hispida
Lagenaria siceraria
Citrullus lanatus
Cucurbita argyrosperma
Cucurbita pepo
Luffa aegyptiaca
Luffa acutangula
Carpinus fangiana
Corylus avellana
Morella rubra
Juglans mandshurica
Juglans regia
Juglans nigra
Carya illinoinensis
Quercus mongolica
Quercus robur
Quercus lobata
Quercus aquifolioides
Fagus sylvatica
Cannabis sativa
Boehmeria
Ficus carica
Morus rubra
Ziziphus jujuba
Maesopsis eminii
Rosa chinensis
Fragaria nilgerrensis
Fragaria iinumae
Fragaria vesca subsp. vesca
Fragaria vesca subsp. bracteata
Potentilla anserina
Malus domestica
Pyrus betulifolia
Malus sylvestris
Malus sieversii
Gillenia trifoliata
Prunus mume
Prunus salicina
Prunus persica
Prunus dulcis
Prunus mira
Prunus davidiana
Senna tora
Lupinus albus
Lupinus angustifolius
Aeschynomene evenia
Arachis ipaensis
Arachis hypogaea
Arachis duranensis
Spatholobus suberectus
Glycine max
Glycine soja
Glycine tomentella
Amphicarpaea edgeworthii
Vigna radiata
Vigna angularis var. nipponensis
Vigna angularis var. angularis
Phaseolus lunatus
Phaseolus vulgaris
Cicer arietinum
Medicago truncatula
Medicago ruthenica
Pisum fulvum
Trifolium pratense
Trifolium repens
Sindora bruggemanii
Tetracentron sinense
Telopea speciosissima
Macadamia tetraphylla
Macadamia integrifolia
Akebia
Aquilegia kansuensis
Coptis
Papaver somniferum
Musa balbisiana
Ensete ventricosum
Zingiber officinale
Typha latifolia
Brocchinia acuminata
Oryza punctata
Oryza glaberrima
Oryza barthii
Oryza nivara
Oryza glumipatula
Oryza longistaminata
Oryza meridionalis
Oryza brachyantha
Leersia perrieri
Dendrocalamus latiflorus
Lolium rigidum
Lolium perenne
Avena sativa
Hordeum marinum subsp. gussoneanum
Hordeum marinum subsp. marinum
Hordeum vulgare subsp. spontaneum
Hordeum vulgare var. distichon
Secale cereale
Aegilops longissima
Aegilops sharonensis
Aegilops bicornis
Aegilops tauschii
Triticum urartu
Aegilops speltoides
Triticum dicoccoides
Thinopyrum elongatum
Aegilops searsii
Brachypodium distachyon
Cenchrus americanus
Setaria viridis
Setaria italica
Urochloa ruziziensis
Panicum miliaceum
Panicum virgatum
Alloteropsis semialata subsp. semialata
Alloteropsis semialata subsp. eckloniana
Echinochloa crus-galli
Panicum hallii
Cenchrus purpureus
Miscanthus floridulus
Miscanthus sacchariflorus
Saccharum spontaneum
Saccharum officinarum
Sorghum bicolor
Coix lacryma-jobi
Coix aquatica
Microstegium vimineum
Zea diploperennis
Paspalum notatum
Eragrostis curvula
Pharus latifolius
Carex hostiana
Areca catechu
Elaeis guineensis
Phoenix dactylifera
Asparagus setaceus
Asparagus officinalis
Allium cepa
Allium sativum
Hemerocallis fulva
Phalaenopsis equestris
Cymbidium sinense
Dendrobium nobile
Dendrobium officinale
Dendrobium chrysotoxum
Dendrobium huoshanense
Vanilla planifolia
Acanthochlamys bracteata
Dioscorea cayenensis
Dioscorea alata
Colocasia esculenta
Amorphophallus paeoniifolius
Lemna gibba
Nymphaea colorata
Taxus chinensis
Taxus wallichiana
Sequoiadendron giganteum
Cycas panzhihuaensis
Ceratopteris richardii
Cinclidotus fontinaloides
Ceratodon purpureus
Physcomitrium patens
Sphagnum palustre
